,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
YW_200307_M431_015.mzML,2.2907946,0.26721627,2.2254806,-0.8452741,4.5629277,17.31996
YW_200304_M431_003.mzML,1.858086,0.185998,2.6841002,-0.56849575,5.213395,16.571674
F088_210524_M462_103.mzML,0.5308337,2.4059923,-0.4315241,-1.6968883,9.808735,-0.13554491
F088_210524_M462_261.mzML,0.1335207,1.8761157,-0.44008428,-1.654708,9.764655,-0.2206696
YW_200304_M431_005.mzML,1.4682446,-0.23518541,2.5692494,-0.29574978,5.310482,16.493454
YW_200307_M431_017.mzML,2.3611653,0.3587111,2.3595445,-0.95553106,4.5891066,17.268858
YW_200305_M431_011.mzML,2.5055854,0.010853374,1.9422294,-0.9290635,4.6614084,17.178448
YW_200301_M431_277.mzML,2.6155543,0.3469758,2.2258372,-1.2013685,4.6079645,17.219114
YW_200305_M431_271.mzML,2.3253155,0.14851798,1.9588233,-0.91947365,4.6227226,17.269932
F088_210524_M462_027.mzML,-0.6544046,-0.38961428,-0.45293406,0.7888193,15.3452425,13.941157
YW_200319_M431_283.mzML,1.6227326,-1.3044175,1.9960377,-0.63773483,5.40272,16.417923
YW_200320_M431_283.mzML,1.9038523,-0.29537153,2.186557,-0.59854627,5.2605705,16.539682
batch1/KL_200505_M436_019.mzML,3.703924,0.22266905,-1.9928842,-1.6628366,-4.1993,7.726275
YW_200319_M431_143.mzML,1.0497793,-1.3246392,1.9209876,-0.2875271,4.7357907,18.292467
batch10/KL_200518_M436_175.mzML,3.110944,1.0993671,-1.2337799,-1.2332461,-4.229128,7.4333587
F088_210524_M462_163.mzML,1.2643582,3.808039,-0.25244778,-1.4758116,10.022834,0.11487742
F088_210524_M462_187.mzML,-0.080044314,1.492005,-0.37284428,-2.10878,-5.2993836,3.0190337
F088_210524_M462_217.mzML,-0.2850546,0.9415713,-0.57291335,-2.0333414,-5.308827,3.045597
batch10/KL_200518_M436_063.mzML,4.157427,1.2197623,-1.4130952,-1.1168853,-4.2270017,7.4308977
F088_210524_M462_247.mzML,-1.2309413,-1.107385,-0.41851455,1.0042195,15.290993,14.014549
YW_200307_M431_013.mzML,2.5086353,0.44976977,2.3716063,-1.2080448,4.600008,17.255167
F088_210524_M462_235.mzML,-1.5895145,-1.4949433,-0.16861533,0.7519175,15.216675,14.003562
F088_210524_M462_067.mzML,-2.1392932,-2.0426345,-0.32601243,0.7208037,15.19651,14.079357
YW_200305_M431_273.mzML,2.311177,0.084379524,1.9224803,-0.88020545,4.6522417,17.308384
F088_210524_M462_183.mzML,0.18996361,2.0807114,-0.4154262,-1.7416133,9.778684,-0.19944496
YW_200318_M431_283.mzML,0.92182815,-1.8468196,1.807141,-0.11743308,4.7460403,18.452705
F088_210524_M462_251.mzML,-1.5218388,-1.4048622,-0.32541147,0.9371748,15.277979,14.032007
F088_210524_M462_221.mzML,0.4612921,2.4380636,-0.44446126,-1.7045525,9.830654,-0.099792026
batch10/KL_200518_M436_247.mzML,2.9248598,1.0481311,-1.1721143,-1.1954167,-4.2296104,7.429416
YW_200226_M431_001.mzML,1.7354631,-0.7345128,2.2320855,-0.5258109,5.3544188,16.458784
F088_210524_M462_031.mzML,0.56814665,2.7060046,-0.26053494,-1.4552343,9.850125,-0.009856089
YW_200307_M431_203.mzML,1.7436911,-0.4756257,1.2627504,-0.6991877,4.6577826,17.698555
batch10/KL_200518_M436_019.mzML,0.37113416,0.65352446,-0.67736953,-2.151278,-3.7697215,8.319985
F088_210524_M462_225.mzML,1.1330657,3.6305387,-0.3134924,-1.4391973,10.013827,0.118351564
F088_210524_M462_129.mzML,0.13240893,1.9486191,-0.4351097,-1.8071256,9.736851,-0.25596762
YW_200318_M431_151.mzML,1.0525057,-1.379345,1.9421084,-0.33623675,4.752413,18.321602
batch10/KL_200518_M436_087.mzML,2.9914224,1.0314484,-1.1714894,-1.2447704,-4.233942,7.4214387
F088_210524_M462_249.mzML,-1.2673737,-1.0532042,-0.44721738,0.9403903,15.279434,13.997661
F088_210524_M462_035.mzML,0.16811085,2.0430012,-0.5522006,-1.922865,9.759595,-0.22262196
F088_210524_M462_079.mzML,-0.30229247,0.07385385,0.00019490626,0.21733667,7.95741,6.2352033
F088_210524_M462_105.mzML,-0.55886954,-0.28259102,-0.5899286,0.87845993,15.347297,13.94298
F088_210524_M462_135.mzML,-0.095651485,1.4017029,-0.38714877,-2.0876205,-5.301131,3.0213172
F088_210524_M462_209.mzML,0.22063473,1.9695617,-0.35514325,-1.7175192,9.767213,-0.21414188
YW_200305_M431_275.mzML,2.4309201,0.14836006,2.0378153,-0.9748603,4.629111,17.20676
F088_210524_M462_113.mzML,0.271365,2.1478534,-0.4027897,-1.7396606,9.780508,-0.19710879
F088_210524_M462_161.mzML,0.13622667,1.9368556,-0.55400634,-2.0080168,9.716282,-0.266386
F088_210524_M462_201.mzML,0.27681726,2.0352879,-0.43070167,-1.7286593,9.752105,-0.20145653
B9_WU350-393_d3_polar_pos.mzML,0.0021258872,2.0757174,1.641661,-1.2715484,11.648505,-8.604921
YW_200307_M431_009.mzML,2.2709343,0.29994106,2.12205,-0.95700014,4.5949445,17.275146
YW_200304_M431_011.mzML,1.7096521,0.2919917,2.500016,-0.66094315,4.578005,17.371614
batch9/KL_200516_M436_007.mzML,1.1073904,0.10549748,-1.0802181,-1.590984,-3.8215103,8.437533
F088_210524_M462_243.mzML,-0.54682,-0.27990648,-0.5773768,0.78981394,15.343573,13.93856
YW_200307_M431_011.mzML,2.6637068,0.5041355,2.5234327,-1.2786573,4.6014423,17.201979
F088_210524_M462_115.mzML,-0.32152298,-0.13404071,-0.38289142,0.6581481,15.341997,13.93723
