number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_finetune_epochs,params_finetune_lr,params_latent_size,params_num_hidden_layers,params_pretrain_adv_weight,params_pretrain_epochs,params_pretrain_lr,user_attrs_Hold Out Test Finetune AUC,user_attrs_Hold Out Test Rand AUC,user_attrs_finetune AUC avg,user_attrs_finetune AUC std,user_attrs_number of input peaks,user_attrs_pretrain Adv AUC,user_attrs_pretrain Head AUC,user_attrs_rand AUC avg,user_attrs_rand AUC std,user_attrs_reconstruction loss,state
33,0.8729642788569133,2024-03-14 05:09:34,2024-03-14 05:17:01,0 days 00:07:27,tanh,0.4,64,0.0009158619008309883,20,5,1.6888106633427806,159,0.0004961135712294984,0.8891403079032898,0.8944193124771118,0.8729642788569133,0.010311951766721186,2736,0.5531576871871948,,0.8714285572369893,0.007160694689897066,0.6613137722015381,COMPLETE
34,0.8209523697694142,2024-03-14 05:17:01,2024-03-14 05:20:36,0 days 00:03:35,tanh,0.2,16,0.00016979712787050898,35,4,1.2103393861563168,494,0.002821739636752077,0.8589743971824646,0.9140270948410034,0.8209523697694142,0.030374264254699204,2736,0.6985877752304077,,0.8566666642824808,0.00780356245251597,0.599452018737793,COMPLETE
35,0.8634285807609559,2024-03-14 05:20:36,2024-03-14 05:25:49,0 days 00:05:13,sigmoid,0.30000000000000004,28,0.0005906209476993977,27,4,2.7155295094976135,359,0.0003093049477078757,0.9057315587997437,0.9117647409439087,0.8634285807609559,0.006574149317579376,2736,0.6308266520500183,,0.8592500150203705,0.005903395961187231,0.7048184871673584,COMPLETE
36,0.8748690446217855,2024-03-14 05:25:49,2024-03-14 05:32:00,0 days 00:06:11,tanh,0.30000000000000004,43,0.003142986614374284,47,5,0.8811872863942364,258,0.00014411942800653772,0.8702865839004517,0.8944193124771118,0.8748690446217855,0.01575009465010308,2736,0.5257987380027771,,0.8671309451262156,0.01859418241098828,0.5926126837730408,COMPLETE
37,0.8690000116825104,2024-03-14 05:32:00,2024-03-14 05:36:43,0 days 00:04:43,tanh,0.4,23,0.00036494794853350295,75,5,0.1628779191320837,75,0.0012982328064488006,0.9200603365898132,0.9087481498718262,0.8690000116825104,0.012126885371759598,2736,0.7275676727294922,,0.8679523905118306,0.007404686462158605,0.5826696753501892,COMPLETE
38,0.8157142400741577,2024-03-14 05:36:43,2024-03-14 05:41:26,0 days 00:04:43,sigmoid,0.0,96,0.0007270332409562367,38,3,0.70949582777439,26,0.0039039217038210976,,,,,2736,0.7396023273468018,,,,0.6492425203323364,PRUNED
39,0.8338928639888763,2024-03-14 05:41:26,2024-03-14 05:48:20,0 days 00:06:54,leakyrelu,0.2,54,0.002525464892325305,18,4,0.5125065047615189,103,0.0002000447000243926,0.8597284555435181,0.8717949390411377,0.8338928639888763,0.02424249130844051,2736,0.8963413238525391,,0.8454761683940888,0.02391885354821474,0.5830802321434021,COMPLETE
40,0.8731785813967387,2024-03-14 05:48:20,2024-03-14 06:00:54,0 days 00:12:34,tanh,0.1,122,0.0014455534226755086,28,2,2.4603066234620963,14,0.0004715586935545749,0.8887631893157959,0.8861236572265625,0.8731785813967387,0.009289088523269262,2736,0.6465195417404175,,0.8740238070487976,0.011384933502919907,0.6176691651344299,COMPLETE
41,0.8716190338134766,2024-03-14 06:00:54,2024-03-14 06:06:55,0 days 00:06:01,tanh,0.30000000000000004,41,0.003077248647755811,42,5,0.856660944631512,409,0.00013738480486211852,0.8936651945114136,0.9019607305526733,0.8716190338134766,0.02537435713924483,2736,0.5282513499259949,,0.8723928431669871,0.024578784169727558,0.5946205258369446,COMPLETE
42,0.875464278459549,2024-03-14 06:06:55,2024-03-14 06:12:30,0 days 00:05:35,tanh,0.30000000000000004,35,0.0011606048670844635,52,5,1.049474329451131,289,0.00010365338954436347,0.8921568989753723,0.890648603439331,0.875464278459549,0.009591188277010422,2736,0.5314698219299316,,0.8727499941984812,0.011056872542958613,0.5740779638290405,COMPLETE
43,0.8719285627206167,2024-03-14 06:12:30,2024-03-14 06:17:55,0 days 00:05:25,tanh,0.4,35,0.0011512714789554432,51,5,1.2536021058779947,323,0.00010598521690035183,0.885369598865509,0.8989441990852356,0.8719285627206167,0.010863879661562005,2736,0.5184037089347839,,0.8723095178604126,0.009867207201616088,0.6213369369506836,COMPLETE
44,0.8663809398810068,2024-03-14 06:17:55,2024-03-14 06:22:42,0 days 00:04:47,tanh,0.30000000000000004,27,0.0004459340346256029,69,4,1.805903030322639,158,0.0003358575816703424,0.9095022678375244,0.9042232036590576,0.8663809398810068,0.008825940374501871,2736,0.6523790955543518,,0.8674642880757649,0.007269337966198667,0.5820998549461365,COMPLETE
45,0.8776071270306905,2024-03-14 06:22:43,2024-03-14 06:30:21,0 days 00:07:38,tanh,0.2,53,0.0019427224936231276,88,5,1.0403829274941438,10,0.00023709070801297442,0.9076168537139893,0.8785821795463562,0.8776071270306905,0.012703822322634846,2736,0.646483302116394,,0.8744047582149506,0.012419570461638515,0.5443516373634338,COMPLETE
46,0.8643214166164398,2024-03-14 06:30:21,2024-03-14 06:39:57,0 days 00:09:36,sigmoid,0.2,70,0.0018237391481678268,88,4,3.8318933911245576,13,0.00023626668053810526,0.8959275484085083,0.8993211984634399,0.8643214166164398,0.011360796594468581,2736,0.6713361740112305,,0.8634404699007671,0.009502276565084403,0.5977333188056946,COMPLETE
47,0.8444523751735687,2024-03-14 06:39:57,2024-03-14 06:47:04,0 days 00:07:07,leakyrelu,0.2,51,0.0020825529740633787,82,3,0.409749662003621,10,0.0007858523127097008,0.8970588445663452,0.8800904750823975,0.8444523751735687,0.02491408748766605,2736,0.9931329488754272,,0.8437737961610158,0.022643845205991827,0.48739954829216003,COMPLETE
48,0.8716428518295288,2024-03-14 06:47:04,2024-03-14 06:51:18,0 days 00:04:14,tanh,0.1,19,0.0047310550615079884,69,4,2.1009514315461253,10,0.00039462015640619126,0.8910256624221802,0.8936651945114136,0.8716428518295288,0.020177898500178246,2736,0.6874344348907471,,0.8622738023598989,0.02107555245030785,0.5347792506217957,COMPLETE
49,0.8678214271863302,2024-03-14 06:51:18,2024-03-14 06:56:27,0 days 00:05:09,tanh,0.0,14,0.0013502121301603518,93,5,1.410964169064195,37,0.00018684893672418144,0.9027149677276611,0.8868777751922607,0.8678214271863302,0.010767471629575162,2736,0.6599891781806946,,0.8691785832246145,0.01227663178856609,0.4910823106765747,COMPLETE
50,0.8576666673024496,2024-03-14 06:56:28,2024-03-14 07:08:43,0 days 00:12:15,tanh,0.2,87,0.006359625614511024,98,4,0.1337153390270217,12,0.0005391654537605159,0.8914027214050293,0.8861236572265625,0.8576666673024496,0.0232206410354131,2736,0.7238941788673401,,0.8763571302096049,0.016441342159224756,0.5214565992355347,COMPLETE
51,0.8665357172489166,2024-03-14 07:08:43,2024-03-14 07:16:22,0 days 00:07:39,tanh,0.2,58,0.0010372591099666892,62,5,1.0509208608490872,206,0.00012393554040832048,0.8944193124771118,0.889894425868988,0.8665357172489166,0.010300820246408698,2736,0.566859781742096,,0.8737500011920929,0.009481793144878127,0.5759459733963013,COMPLETE
